frame,track_id_a,track_id_b,cost_px,status
60,5,4,21.7,matched
60,9,1,229.3,rejected_too_far
60,19,2,12.6,matched
60,28,5,214.1,rejected_too_far
60,22,,,unmatched_a_extra
61,5,4,24.1,matched
61,19,2,11.7,matched
61,28,1,9.1,matched
61,29,5,12.3,matched
61,9,,,unmatched_a_extra
61,22,,,unmatched_a_extra
62,5,4,29.8,matched
62,19,2,18.2,matched
62,28,1,10.4,matched
62,29,5,8.6,matched
62,9,,,unmatched_a_extra
62,22,,,unmatched_a_extra
63,5,4,27.4,matched
63,19,2,27.3,matched
63,28,1,11.0,matched
63,29,5,9.8,matched
63,9,,,unmatched_a_extra
63,22,,,unmatched_a_extra
64,5,4,23.6,matched
64,19,2,30.5,matched
64,28,1,10.2,matched
64,29,5,12.4,matched
64,9,,,unmatched_a_extra
64,22,,,unmatched_a_extra
65,5,4,19.7,matched
65,19,2,32.6,matched
65,28,1,9.4,matched
65,29,5,19.2,matched
65,9,,,unmatched_a_extra
65,22,,,unmatched_a_extra
66,5,4,26.9,matched
66,9,1,162.4,rejected_too_far
66,19,2,24.2,matched
66,29,5,16.7,matched
66,22,,,unmatched_a_extra
67,5,4,27.5,matched
67,9,1,155.6,rejected_too_far
67,19,2,21.9,matched
67,29,5,19.8,matched
67,22,,,unmatched_a_extra
68,5,4,35.3,matched
68,9,1,151.3,rejected_too_far
68,19,2,19.6,matched
68,29,5,19.2,matched
68,22,,,unmatched_a_extra
69,5,4,36.9,matched
69,9,1,138.0,matched
69,19,2,22.4,matched
69,29,5,29.7,matched
69,22,,,unmatched_a_extra
70,5,4,29.0,matched
70,9,1,124.5,matched
70,19,2,25.5,matched
70,29,5,37.0,matched
70,22,,,unmatched_a_extra
71,5,4,24.3,matched
71,9,1,116.8,matched
71,19,2,25.4,matched
71,22,,,unmatched_a_extra
71,29,,,unmatched_a_extra
72,5,4,31.7,matched
72,9,1,112.1,matched
72,19,2,23.1,matched
72,22,10,46.0,matched
72,29,,,unmatched_a_extra
73,5,4,41.1,matched
73,9,1,105.0,matched
73,19,2,18.3,matched
73,22,10,36.6,matched
73,29,,,unmatched_a_extra
74,5,1,85.2,matched
74,9,4,45.7,matched
74,19,2,16.9,matched
74,22,10,31.6,matched
74,29,,,unmatched_a_extra
75,5,4,11.5,matched
75,9,1,75.4,matched
75,19,2,19.9,matched
75,22,10,26.2,matched
75,29,,,unmatched_a_extra
76,5,1,40.4,matched
76,9,4,28.1,matched
76,19,2,22.6,matched
76,22,10,28.4,matched
76,29,,,unmatched_a_extra
77,5,1,31.4,matched
77,9,4,44.7,matched
77,19,2,23.0,matched
77,22,10,30.8,matched
77,29,,,unmatched_a_extra
78,5,4,21.4,matched
78,9,13,11.8,matched
78,19,2,19.0,matched
78,22,10,17.5,matched
78,29,,,unmatched_a_extra
78,30,,,unmatched_a_extra
79,5,4,24.3,matched
79,19,2,16.8,matched
79,22,10,20.0,matched
79,9,,,unmatched_a_extra
79,29,,,unmatched_a_extra
79,30,,,unmatched_a_extra
80,5,4,21.8,matched
80,9,1,38.7,matched
80,19,2,14.9,matched
80,22,10,28.5,matched
80,29,,,unmatched_a_extra
80,30,,,unmatched_a_extra
81,5,1,27.5,matched
81,19,2,14.5,matched
81,22,10,29.5,matched
81,9,,,unmatched_a_extra
81,29,,,unmatched_a_extra
81,30,,,unmatched_a_extra
82,5,4,7.5,matched
82,9,1,39.2,matched
82,19,2,12.6,matched
82,22,10,26.7,matched
82,29,15,48.4,matched
82,30,,,unmatched_a_extra
83,5,4,9.0,matched
83,9,1,38.9,matched
83,19,2,14.8,matched
83,22,10,21.8,matched
83,29,15,40.3,matched
83,30,,,unmatched_a_extra
84,5,4,14.0,matched
84,9,17,17.1,matched
84,19,1,46.6,matched
84,22,10,25.1,matched
84,29,15,37.5,matched
84,30,2,1454.2,rejected_too_far
85,5,4,26.9,matched
85,9,1,48.7,matched
85,19,2,21.1,matched
85,22,10,36.6,matched
85,29,15,33.4,matched
85,30,,,unmatched_a_extra
86,5,4,32.7,matched
86,9,1,53.3,matched
86,19,2,25.0,matched
86,22,10,33.3,matched
86,29,15,25.6,matched
86,30,,,unmatched_a_extra
87,5,4,29.8,matched
87,9,1,54.9,matched
87,19,2,24.4,matched
87,22,10,24.5,matched
87,29,15,23.8,matched
87,30,,,unmatched_a_extra
88,9,1,68.4,matched
88,19,2,13.8,matched
88,22,10,18.1,matched
88,29,15,28.4,matched
88,5,,,unmatched_a_extra
88,30,,,unmatched_a_extra
89,5,20,11.4,matched
89,9,1,76.8,matched
89,19,2,16.4,matched
89,22,10,18.5,matched
89,29,15,22.0,matched
89,30,,,unmatched_a_extra
90,5,20,20.9,matched
90,9,1,84.8,matched
90,19,2,17.0,matched
90,22,10,22.3,matched
90,29,15,22.7,matched
90,30,,,unmatched_a_extra
91,5,20,24.8,matched
91,9,1,86.6,matched
91,19,2,12.0,matched
91,22,10,20.2,matched
91,29,15,21.1,matched
91,30,,,unmatched_a_extra
92,5,20,10.4,matched
92,9,1,86.6,matched
92,19,2,15.1,matched
92,22,10,15.9,matched
92,29,15,17.2,matched
92,30,,,unmatched_a_extra
93,5,4,32.3,matched
93,9,1,87.9,matched
93,19,2,14.6,matched
93,22,10,23.9,matched
93,29,15,14.4,matched
93,30,20,1496.5,rejected_too_far
94,5,20,17.0,matched
94,9,1,86.7,matched
94,19,2,14.6,matched
94,22,10,31.6,matched
94,29,15,13.4,matched
94,30,,,unmatched_a_extra
95,5,20,20.9,matched
95,9,1,83.2,matched
95,19,2,13.8,matched
95,22,10,28.8,matched
95,29,15,9.8,matched
95,30,,,unmatched_a_extra
96,5,20,27.4,matched
96,9,4,26.8,matched
96,19,1,49.2,matched
96,22,10,20.7,matched
96,29,15,10.5,matched
96,30,,,unmatched_a_extra
97,5,20,23.0,matched
97,9,4,22.8,matched
97,19,1,48.8,matched
97,22,10,21.7,matched
97,29,15,18.4,matched
97,30,,,unmatched_a_extra
98,5,4,15.1,matched
98,9,1,88.2,matched
98,19,2,13.1,matched
98,22,10,25.8,matched
98,29,15,16.3,matched
98,30,20,1536.0,rejected_too_far
99,5,20,24.8,matched
99,9,4,19.9,matched
99,19,2,15.8,matched
99,22,10,21.9,matched
99,29,15,10.2,matched
99,30,,,unmatched_a_extra
100,5,20,24.8,matched
100,9,4,22.5,matched
100,19,2,6.7,matched
100,22,1,69.3,matched
100,29,15,12.3,matched
100,30,,,unmatched_a_extra
101,5,20,22.0,matched
101,9,4,18.9,matched
101,19,2,4.8,matched
101,22,1,70.6,matched
101,29,15,8.5,matched
101,30,,,unmatched_a_extra
102,5,20,7.8,matched
102,9,4,17.4,matched
102,19,2,8.1,matched
102,22,1,72.3,matched
102,29,15,4.6,matched
102,30,,,unmatched_a_extra
103,5,4,26.5,matched
103,9,2,75.4,matched
103,19,15,32.8,matched
103,22,1,71.4,matched
103,30,20,1596.2,rejected_too_far
104,5,4,22.8,matched
104,9,2,78.3,matched
104,19,15,7.4,matched
104,22,1,72.3,matched
104,30,20,1598.0,rejected_too_far
105,5,4,24.4,matched
105,9,2,79.2,matched
105,19,15,2.1,matched
105,22,1,75.0,matched
105,30,20,1635.2,rejected_too_far
106,5,4,28.0,matched
106,9,2,79.3,matched
106,19,1,32.2,matched
106,22,17,19.9,matched
106,30,20,1653.9,rejected_too_far
106,33,15,2.2,matched
107,5,4,26.4,matched
107,9,2,81.3,matched
107,19,1,70.0,matched
107,22,17,20.7,matched
107,30,20,1673.7,rejected_too_far
107,33,15,2.7,matched
108,5,4,20.5,matched
108,9,1,142.8,matched
108,19,2,13.4,matched
108,22,17,20.0,matched
108,30,20,1693.4,rejected_too_far
108,,15,,unmatched_b_extra
109,5,4,19.9,matched
109,9,1,147.9,matched
109,19,2,8.2,matched
109,22,17,14.0,matched
109,30,20,1709.1,rejected_too_far
109,,15,,unmatched_b_extra
110,5,4,22.6,matched
110,9,1,143.5,matched
110,19,2,2.2,matched
110,22,17,19.5,matched
110,30,20,1713.9,rejected_too_far
110,,15,,unmatched_b_extra
111,5,4,24.9,matched
111,9,1,141.4,matched
111,19,2,2.9,matched
111,22,17,22.2,matched
111,30,20,1715.1,rejected_too_far
111,,15,,unmatched_b_extra
112,5,4,25.0,matched
112,9,1,140.6,matched
112,19,2,4.6,matched
112,22,17,21.1,matched
112,30,20,1728.2,rejected_too_far
112,36,15,6.5,matched
113,5,4,17.9,matched
113,9,1,138.7,matched
113,19,2,7.5,matched
113,22,17,20.1,matched
113,30,20,1749.9,rejected_too_far
113,36,15,7.1,matched
114,5,4,12.5,matched
114,9,1,136.1,matched
114,19,2,9.5,matched
114,22,17,20.3,matched
114,30,20,1765.5,rejected_too_far
114,36,15,6.3,matched
115,5,20,26.8,matched
115,9,4,16.4,matched
115,19,2,12.5,matched
115,22,1,91.1,matched
115,36,15,8.1,matched
115,30,,,unmatched_a_extra
115,37,,,unmatched_a_extra
116,5,20,19.5,matched
116,9,4,16.6,matched
116,19,2,2.6,matched
116,22,1,92.5,matched
116,36,15,7.8,matched
116,30,,,unmatched_a_extra
116,37,,,unmatched_a_extra
117,5,20,20.6,matched
117,9,4,18.8,matched
117,19,2,3.6,matched
117,22,1,96.6,matched
117,36,15,9.7,matched
117,30,,,unmatched_a_extra
117,37,,,unmatched_a_extra
118,5,20,24.9,matched
118,9,4,18.8,matched
118,19,2,5.7,matched
118,22,17,24.7,matched
118,36,1,260.1,rejected_too_far
118,37,15,172.2,rejected_too_far
118,30,,,unmatched_a_extra
119,5,20,28.3,matched
119,9,4,17.0,matched
119,19,2,6.8,matched
119,22,17,25.1,matched
119,36,1,274.4,rejected_too_far
119,37,15,155.9,rejected_too_far
119,30,,,unmatched_a_extra
120,5,20,25.6,matched
120,9,4,19.0,matched
120,19,2,6.6,matched
120,22,17,27.0,matched
120,36,15,15.3,matched
120,37,1,401.1,rejected_too_far
120,30,,,unmatched_a_extra
121,5,20,24.4,matched
121,9,4,17.9,matched
121,19,2,3.9,matched
121,22,17,30.9,matched
121,36,15,8.5,matched
121,37,1,389.0,rejected_too_far
121,30,,,unmatched_a_extra
122,5,20,30.4,matched
122,9,4,21.9,matched
122,19,2,1.4,matched
122,22,17,24.2,matched
122,36,15,12.2,matched
122,37,1,372.7,rejected_too_far
122,30,,,unmatched_a_extra
123,5,20,26.5,matched
123,9,4,22.8,matched
123,19,2,0.2,matched
123,22,17,28.4,matched
123,36,15,15.1,matched
123,37,1,354.0,rejected_too_far
123,30,,,unmatched_a_extra
124,5,20,23.4,matched
124,9,4,24.6,matched
124,19,2,3.6,matched
124,22,17,32.6,matched
124,36,15,10.4,matched
124,37,1,348.8,rejected_too_far
124,30,,,unmatched_a_extra
125,5,20,18.2,matched
125,9,4,21.2,matched
125,19,2,5.5,matched
125,22,17,32.8,matched
125,36,15,11.1,matched
125,37,1,345.0,rejected_too_far
125,30,,,unmatched_a_extra
126,5,20,20.2,matched
126,9,4,22.4,matched
126,19,2,6.6,matched
126,22,17,29.3,matched
126,36,15,15.6,matched
126,37,1,342.3,rejected_too_far
126,30,,,unmatched_a_extra
127,5,4,15.2,matched
127,9,17,50.9,matched
127,19,2,6.5,matched
127,22,1,123.4,matched
127,30,20,2061.8,rejected_too_far
127,36,15,28.2,matched
127,37,27,20.0,matched
128,5,20,24.4,matched
128,9,4,10.5,matched
128,19,2,9.3,matched
128,22,17,25.0,matched
128,36,27,71.2,matched
128,37,1,305.7,rejected_too_far
128,30,,,unmatched_a_extra
129,5,20,22.5,matched
129,9,4,13.3,matched
129,19,2,7.9,matched
129,22,17,26.4,matched
129,36,27,88.8,matched
129,37,1,302.3,rejected_too_far
129,30,,,unmatched_a_extra
130,5,20,19.9,matched
130,9,4,13.8,matched
130,19,2,1.4,matched
130,22,17,27.6,matched
130,36,27,108.4,matched
130,30,,,unmatched_a_extra
131,5,20,21.9,matched
131,9,4,17.8,matched
131,19,2,2.3,matched
131,22,17,28.5,matched
131,37,27,36.5,matched
131,30,,,unmatched_a_extra
131,36,,,unmatched_a_extra
132,5,20,23.8,matched
132,9,4,20.3,matched
132,19,2,3.3,matched
132,22,17,29.5,matched
132,37,27,33.7,matched
132,30,,,unmatched_a_extra
132,36,,,unmatched_a_extra
132,38,,,unmatched_a_extra
133,5,20,24.5,matched
133,9,4,22.8,matched
133,19,2,4.1,matched
133,22,17,32.3,matched
133,37,27,40.2,matched
133,30,,,unmatched_a_extra
133,36,,,unmatched_a_extra
133,38,,,unmatched_a_extra
134,5,20,26.7,matched
134,9,4,24.6,matched
134,19,2,5.1,matched
134,22,17,34.0,matched
134,37,27,45.8,matched
134,30,,,unmatched_a_extra
134,36,,,unmatched_a_extra
134,38,,,unmatched_a_extra
135,5,20,25.7,matched
135,9,4,24.4,matched
135,19,2,9.2,matched
135,22,17,36.4,matched
135,37,27,37.8,matched
135,30,,,unmatched_a_extra
135,36,,,unmatched_a_extra
135,38,,,unmatched_a_extra
136,5,20,25.4,matched
136,9,4,21.6,matched
136,19,1,5.2,matched
136,22,17,34.1,matched
136,37,27,40.8,matched
136,30,,,unmatched_a_extra
136,36,,,unmatched_a_extra
136,38,,,unmatched_a_extra
137,5,20,25.9,matched
137,9,4,17.7,matched
137,19,1,3.1,matched
137,22,17,34.3,matched
137,37,27,38.9,matched
137,30,,,unmatched_a_extra
137,36,,,unmatched_a_extra
137,38,,,unmatched_a_extra
138,5,20,26.4,matched
138,9,4,18.7,matched
138,19,1,1.8,matched
138,22,17,35.6,matched
138,37,27,47.0,matched
138,30,,,unmatched_a_extra
138,36,,,unmatched_a_extra
138,38,,,unmatched_a_extra
139,5,20,27.7,matched
139,9,4,20.6,matched
139,19,1,0.9,matched
139,22,17,37.9,matched
139,36,2,401.5,rejected_too_far
139,37,27,45.8,matched
139,30,,,unmatched_a_extra
139,38,,,unmatched_a_extra
140,5,20,23.3,matched
140,9,4,21.6,matched
140,19,1,2.1,matched
140,22,17,38.2,matched
140,36,2,390.9,rejected_too_far
140,37,27,42.8,matched
140,30,,,unmatched_a_extra
140,38,,,unmatched_a_extra
141,5,20,26.1,matched
141,9,4,17.7,matched
141,19,1,4.0,matched
141,22,17,36.3,matched
141,37,27,44.5,matched
141,30,,,unmatched_a_extra
141,36,,,unmatched_a_extra
141,38,,,unmatched_a_extra
142,5,20,27.6,matched
142,9,4,18.9,matched
142,19,1,2.7,matched
142,22,17,35.2,matched
142,37,27,42.6,matched
142,30,,,unmatched_a_extra
142,36,,,unmatched_a_extra
142,38,,,unmatched_a_extra
143,5,20,22.6,matched
143,9,4,20.5,matched
143,19,1,4.7,matched
143,22,17,40.2,matched
143,37,27,34.8,matched
143,30,,,unmatched_a_extra
143,36,,,unmatched_a_extra
143,38,,,unmatched_a_extra
144,5,20,22.3,matched
144,9,4,22.5,matched
144,19,2,4.4,matched
144,22,17,42.0,matched
144,30,,,unmatched_a_extra
144,36,,,unmatched_a_extra
144,38,,,unmatched_a_extra
144,37,,,unmatched_a_extra
145,5,20,22.3,matched
145,9,4,20.0,matched
145,19,2,6.3,matched
145,22,17,41.3,matched
145,30,,,unmatched_a_extra
145,36,,,unmatched_a_extra
145,38,,,unmatched_a_extra
145,37,,,unmatched_a_extra
146,5,20,28.6,matched
146,9,4,20.7,matched
146,19,2,7.7,matched
146,22,17,38.2,matched
146,37,27,44.9,matched
146,30,,,unmatched_a_extra
146,36,,,unmatched_a_extra
146,38,,,unmatched_a_extra
147,5,20,36.6,matched
147,9,4,21.7,matched
147,19,2,2.7,matched
147,22,17,36.5,matched
147,37,27,37.4,matched
147,30,,,unmatched_a_extra
147,36,,,unmatched_a_extra
147,38,,,unmatched_a_extra
147,47,,,unmatched_a_extra
148,5,20,36.0,matched
148,9,4,22.7,matched
148,19,2,4.3,matched
148,22,17,34.0,matched
148,37,27,41.7,matched
148,30,,,unmatched_a_extra
148,36,,,unmatched_a_extra
148,38,,,unmatched_a_extra
148,47,,,unmatched_a_extra
149,5,20,29.5,matched
149,9,4,22.5,matched
149,19,2,4.6,matched
149,22,17,32.7,matched
149,37,27,33.0,matched
149,30,,,unmatched_a_extra
149,38,,,unmatched_a_extra
149,47,,,unmatched_a_extra
150,5,20,26.7,matched
150,9,4,19.6,matched
150,19,27,123.5,matched
150,22,17,31.9,matched
150,47,2,31.4,matched
150,30,,,unmatched_a_extra
150,38,,,unmatched_a_extra
150,48,,,unmatched_a_extra
151,5,20,26.8,matched
151,9,4,22.2,matched
151,19,2,11.9,matched
151,22,17,29.7,matched
151,47,27,165.3,rejected_too_far
151,30,,,unmatched_a_extra
151,38,,,unmatched_a_extra
151,48,,,unmatched_a_extra
152,5,20,26.0,matched
152,9,4,28.9,matched
152,19,2,8.5,matched
152,22,17,29.7,matched
152,47,27,198.3,rejected_too_far
152,30,,,unmatched_a_extra
152,38,,,unmatched_a_extra
152,48,,,unmatched_a_extra
153,5,20,26.5,matched
153,9,4,26.2,matched
153,19,27,209.0,rejected_too_far
153,22,17,30.7,matched
153,47,2,26.6,matched
153,30,,,unmatched_a_extra
153,38,,,unmatched_a_extra
153,48,,,unmatched_a_extra
154,5,20,28.0,matched
154,9,4,25.6,matched
154,22,17,33.1,matched
154,38,2,229.0,rejected_too_far
154,47,27,258.4,rejected_too_far
154,30,,,unmatched_a_extra
154,48,,,unmatched_a_extra
155,5,20,28.1,matched
155,9,4,22.1,matched
155,22,17,30.0,matched
155,47,2,28.2,matched
155,37,27,12.8,matched
155,30,,,unmatched_a_extra
155,38,,,unmatched_a_extra
155,48,,,unmatched_a_extra
156,5,20,31.5,matched
156,9,4,22.9,matched
156,22,17,36.7,matched
156,38,32,35.3,matched
156,47,2,28.3,matched
156,37,27,19.9,matched
156,30,,,unmatched_a_extra
156,48,,,unmatched_a_extra
157,5,20,31.9,matched
157,9,4,17.6,matched
157,22,17,38.4,matched
157,38,32,30.4,matched
157,47,2,27.7,matched
157,37,27,14.7,matched
157,30,,,unmatched_a_extra
157,48,,,unmatched_a_extra
158,5,4,4.3,matched
158,22,17,31.1,matched
158,30,20,3572.6,rejected_too_far
158,38,32,30.6,matched
158,47,2,28.8,matched
158,37,27,29.2,matched
158,48,,,unmatched_a_extra
159,5,4,3.4,matched
159,22,17,28.0,matched
159,30,20,3626.5,rejected_too_far
159,38,32,34.4,matched
159,47,2,28.2,matched
159,37,27,36.4,matched
160,5,20,26.8,matched
160,22,17,26.6,matched
160,38,32,37.0,matched
160,37,27,26.5,matched
160,50,2,16.8,matched
160,30,,,unmatched_a_extra
160,47,,,unmatched_a_extra
161,5,4,4.8,matched
161,22,17,27.4,matched
161,38,32,35.0,matched
161,37,27,33.0,matched
161,50,2,7.7,matched
161,30,,,unmatched_a_extra
161,47,,,unmatched_a_extra
162,5,4,4.1,matched
162,22,17,26.3,matched
162,47,32,22.3,matched
162,37,27,35.3,matched
162,50,2,6.3,matched
162,9,20,48.3,matched
162,30,,,unmatched_a_extra
163,22,17,24.6,matched
163,30,20,4053.8,rejected_too_far
163,37,27,32.5,matched
163,50,2,5.6,matched
163,9,4,28.4,matched
163,38,32,33.1,matched
164,22,17,23.4,matched
164,30,20,4115.0,rejected_too_far
164,37,27,28.2,matched
164,50,2,10.2,matched
164,9,4,25.7,matched
164,38,32,35.8,matched
165,22,17,32.4,matched
165,37,27,35.1,matched
165,50,2,8.0,matched
165,9,4,23.6,matched
165,38,32,30.9,matched
165,5,20,31.0,matched
165,30,,,unmatched_a_extra
165,47,,,unmatched_a_extra
166,22,17,28.2,matched
166,37,27,33.3,matched
166,50,2,7.8,matched
166,9,4,25.7,matched
166,38,32,27.6,matched
166,5,20,31.3,matched
166,30,,,unmatched_a_extra
166,47,,,unmatched_a_extra
167,22,17,26.9,matched
167,37,27,24.1,matched
167,9,4,27.1,matched
167,38,32,32.3,matched
167,5,20,29.6,matched
167,47,2,33.2,matched
167,30,,,unmatched_a_extra
167,48,,,unmatched_a_extra
168,22,17,17.5,matched
168,9,4,25.8,matched
168,38,32,33.9,matched
168,5,20,29.4,matched
168,47,2,41.4,matched
168,30,,,unmatched_a_extra
168,37,,,unmatched_a_extra
168,48,,,unmatched_a_extra
169,22,17,19.0,matched
169,9,4,24.3,matched
169,38,32,28.8,matched
169,5,20,29.2,matched
169,47,34,46.4,matched
169,50,2,25.6,matched
169,30,,,unmatched_a_extra
169,37,,,unmatched_a_extra
169,48,,,unmatched_a_extra
170,22,17,20.2,matched
170,9,4,24.4,matched
170,38,34,46.1,matched
170,5,20,28.3,matched
170,50,2,4.8,matched
